source,target,time_fps
fly12,fly10,10775
fly3,fly5,10782
fly9,fly6,10820
fly1,fly12,10828
fly9,fly10,10841
fly2,fly6,10846
fly6,fly2,10846
fly10,fly11,10860
fly12,fly1,10862
fly2,fly10,10875
fly10,fly2,10876
fly11,fly9,10877
fly2,fly11,10891
fly11,fly2,10913
fly10,fly3,10925
fly7,fly10,10983
fly1,fly6,11021
fly9,fly12,11021
fly5,fly1,11033
fly7,fly11,11037
fly11,fly7,11042
fly5,fly8,11054
fly8,fly5,11054
fly3,fly1,11059
fly1,fly6,11065
fly6,fly12,11075
fly8,fly1,11082
fly8,fly6,11089
fly1,fly8,11090
fly6,fly8,11098
fly3,fly10,11107
fly1,fly3,11124
fly12,fly8,11137
fly3,fly6,11149
fly10,fly5,11162
fly8,fly12,11173
fly12,fly11,11211
fly11,fly12,11211
fly11,fly12,11231
fly6,fly5,11247
fly6,fly2,11267
fly3,fly1,11284
fly9,fly4,11290
fly4,fly11,11326
fly12,fly11,11368
fly7,fly5,11381
fly1,fly10,11385
fly10,fly1,11390
fly5,fly6,11446
fly4,fly6,11463
fly8,fly4,11465
fly3,fly8,11512
fly12,fly11,11541
fly4,fly7,11547
fly11,fly12,11556
fly12,fly2,11557
fly11,fly2,11563
fly10,fly5,11564
fly5,fly10,11564
fly4,fly7,11578
fly11,fly2,11580
fly6,fly12,11606
fly7,fly3,11615
fly3,fly7,11626
fly4,fly3,11643
fly3,fly4,11658
fly9,fly6,11665
fly6,fly9,11665
fly7,fly4,11678
fly4,fly7,11684
fly8,fly1,11686
fly2,fly12,11693
fly8,fly1,11721
fly5,fly12,11726
fly9,fly2,11727
fly2,fly9,11731
fly4,fly12,11778
fly12,fly4,11778
fly7,fly3,11797
fly9,fly2,11802
fly5,fly9,11808
fly4,fly12,11821
fly4,fly11,11898
fly11,fly12,11932
fly10,fly6,11961
fly11,fly12,11986
fly11,fly4,12021
fly1,fly5,12047
fly7,fly3,12058
fly3,fly7,12059
fly2,fly12,12065
fly11,fly4,12073
fly9,fly1,12082
fly6,fly5,12121
fly5,fly6,12122
fly6,fly10,12130
fly5,fly10,12132
fly5,fly6,12146
fly12,fly8,12149
fly4,fly6,12174
fly12,fly1,12184
fly9,fly5,12196
fly5,fly9,12213
fly9,fly5,12232
fly1,fly12,12242
fly10,fly7,12243
fly5,fly3,12253
fly2,fly9,12271
fly8,fly12,12301
fly12,fly8,12301
fly3,fly4,12312
fly3,fly5,12326
fly3,fly2,12334
fly2,fly3,12342
fly7,fly2,12379
fly2,fly9,12409
fly7,fly9,12446
fly9,fly7,12467
fly6,fly1,12477
fly1,fly6,12499
fly9,fly12,12502
fly12,fly9,12523
fly1,fly6,12539
fly11,fly3,12539
fly6,fly5,12544
fly5,fly6,12544
fly7,fly9,12546
fly7,fly9,12572
fly10,fly4,12589
fly3,fly2,12595
fly7,fly9,12601
fly12,fly11,12614
fly5,fly6,12628
fly11,fly12,12633
fly9,fly10,12641
fly2,fly11,12659
fly9,fly3,12685
fly1,fly12,12696
fly11,fly2,12697
fly2,fly11,12698
fly10,fly11,12709
fly8,fly5,12710
fly11,fly3,12728
fly10,fly11,12728
fly11,fly3,12751
fly12,fly5,12759
fly5,fly12,12760
fly9,fly10,12807
fly12,fly4,12807
fly4,fly12,12808
fly8,fly10,12822
fly10,fly8,12828
fly12,fly4,12834
fly3,fly11,12869
fly9,fly10,12900
fly8,fly6,12902
fly11,fly9,12940
fly8,fly6,12951
fly12,fly10,12951
fly10,fly12,12960
fly12,fly10,12988
fly11,fly6,13029
fly12,fly10,13034
fly6,fly11,13044
fly2,fly12,13045
fly2,fly10,13052
fly2,fly12,13080
fly1,fly11,13090
fly12,fly4,13106
fly9,fly1,13136
fly11,fly9,13149
fly10,fly11,13214
fly11,fly10,13233
fly5,fly3,13244
fly12,fly8,13261
fly4,fly5,13263
fly11,fly5,13300
fly6,fly8,13338
fly1,fly10,13353
fly8,fly4,13370
fly4,fly11,13372
fly11,fly4,13388
fly4,fly6,13413
fly11,fly6,13416
fly11,fly4,13433
fly12,fly1,13437
fly5,fly8,13443
fly10,fly5,13494
fly12,fly1,13496
fly12,fly8,13541
fly8,fly12,13542
fly4,fly8,13563
